Valence,Arousal,FNO,FPS,X-axis
-0.27646,0.0354,229,20,11.45
-0.2547,0.01827,230,20,11.5
-0.26345,0.00894,231,20,11.55
-0.25456,0.01677,232,20,11.6
-0.2508,0.01664,233,20,11.65
-0.24672,0.03008,234,20,11.7
-0.23481,0.02353,235,20,11.75
-0.22633,0.03306,236,20,11.8
-0.25336,0.02602,237,20,11.85
-0.24471,0.03285,238,20,11.9
-0.24695,0.03495,239,20,11.95
-0.2429,0.03764,240,20,12.0
-0.24185,0.03532,241,20,12.05
-0.22701,0.02994,242,20,12.1
-0.21577,0.03432,243,20,12.15
-0.21772,0.04264,244,20,12.2
-0.23126,0.03209,245,20,12.25
-0.22743,0.03314,246,20,12.3
-0.22376,0.04071,247,20,12.35
-0.22699,0.03798,248,20,12.4
-0.22566,0.04518,249,20,12.45
-0.23605,0.03952,250,20,12.5
-0.26946,0.14592,251,20,12.55
-0.24771,0.1133,252,20,12.6
-0.26599,0.12584,253,20,12.65
-0.26,0.1324,254,20,12.7
-0.27824,0.14941,255,20,12.75
-0.27112,0.15371,256,20,12.8
-0.23278,0.00494,257,20,12.85
-0.2237,0.02649,258,20,12.9
-0.22521,0.0471,259,20,12.95
-0.24025,0.03959,260,20,13.0
-0.25124,0.02165,261,20,13.05
-0.24781,0.02775,262,20,13.1
-0.26025,0.05655,263,20,13.15
-0.234,0.02701,264,20,13.2
-0.23626,0.03696,265,20,13.25
-0.25392,0.08502,266,20,13.3
-0.27715,0.07789,267,20,13.35
-0.28025,0.07985,268,20,13.4
-0.28434,0.05479,269,20,13.45
-0.29821,0.0794,270,20,13.5
-0.29339,0.09583,271,20,13.55
-0.28316,0.06067,272,20,13.6
-0.29192,0.07107,273,20,13.65
-0.29122,0.08046,274,20,13.7
-0.28524,0.09205,275,20,13.75
-0.29803,0.06531,276,20,13.8
-0.27379,0.0662,277,20,13.85
-0.27981,0.07495,278,20,13.9
-0.26904,0.07046,279,20,13.95
-0.26367,0.04571,280,20,14.0
-0.27244,0.05767,281,20,14.05
-0.27371,0.0538,282,20,14.1
-0.26361,0.04591,283,20,14.15
-0.28809,0.07442,284,20,14.2
-0.27699,0.08212,285,20,14.25
-0.27321,0.1145,286,20,14.3
-0.26527,0.09595,287,20,14.35
-0.25955,0.10194,288,20,14.4
-0.26673,0.1119,289,20,14.45
-0.2709,0.12226,290,20,14.5
-0.2788,0.11345,291,20,14.55
-0.26922,0.10207,292,20,14.6
-0.28097,0.11831,293,20,14.65
-0.29804,0.11903,294,20,14.7
-0.28101,0.10704,295,20,14.75
-0.2887,0.10274,296,20,14.8
-0.27279,0.0731,297,20,14.85
-0.26934,0.08573,298,20,14.9
-0.27316,0.09384,299,20,14.95
-0.28514,0.07731,300,20,15.0
-0.27728,0.06086,301,20,15.05
-0.29014,0.07198,302,20,15.1
-0.28081,0.07241,303,20,15.15
-0.28042,0.0801,304,20,15.2
-0.30304,0.06892,305,20,15.25
-0.2951,0.05776,306,20,15.3
-0.29927,0.09263,307,20,15.35
-0.28789,0.07133,308,20,15.4
-0.2889,0.08576,309,20,15.45
-0.28892,0.08332,310,20,15.5
-0.27801,0.06522,311,20,15.55
-0.2864,0.08045,312,20,15.6
-0.27705,0.08607,313,20,15.65
-0.28088,0.09643,314,20,15.7
-0.28453,0.1055,315,20,15.75
-0.2906,0.09833,316,20,15.8
-0.27901,0.08714,317,20,15.85
-0.28711,0.09989,318,20,15.9
-0.27451,0.09966,319,20,15.95
-0.26833,0.08705,320,20,16.0
-0.26951,0.09408,321,20,16.05
-0.26254,0.07983,322,20,16.1
-0.26356,0.0832,323,20,16.15
-0.26264,0.06099,324,20,16.2
-0.26531,0.0789,325,20,16.25
-0.26918,0.07764,326,20,16.3
-0.25808,0.08063,327,20,16.35
-0.26193,0.08152,328,20,16.4
-0.26716,0.05975,329,20,16.45
-0.26944,0.06698,330,20,16.5
-0.26523,0.07605,331,20,16.55
-0.26277,0.079,332,20,16.6
-0.2655,0.06937,333,20,16.65
-0.27157,0.08661,334,20,16.7
-0.27804,0.09422,335,20,16.75
-0.26467,0.0965,336,20,16.8
-0.25909,0.08232,337,20,16.85
-0.25409,0.08349,338,20,16.9
-0.2749,0.09512,339,20,16.95
-0.26108,0.09548,340,20,17.0
-0.27723,0.08134,341,20,17.05
-0.27382,0.07959,342,20,17.1
-0.28129,0.09037,343,20,17.15
-0.27612,0.09979,344,20,17.2
-0.27912,0.08803,345,20,17.25
-0.28444,0.09665,346,20,17.3
-0.27086,0.09494,347,20,17.35
-0.26057,0.07057,348,20,17.4
-0.27021,0.05913,349,20,17.45
-0.27088,0.06469,350,20,17.5
-0.28213,0.06239,351,20,17.55
-0.25609,0.05903,352,20,17.6
-0.25887,0.05434,353,20,17.65
-0.2754,0.07854,354,20,17.7
-0.27804,0.08153,355,20,17.75
-0.26925,0.06065,356,20,17.8
-0.26161,0.06658,357,20,17.85
-0.25843,0.04317,358,20,17.9
-0.2415,0.03964,359,20,17.95
-0.22623,0.02889,360,20,18.0
-0.24493,0.03271,361,20,18.05
-0.23371,0.03759,362,20,18.1
-0.21211,0.04893,363,20,18.15
-0.25029,0.05475,364,20,18.2
-0.24658,0.0515,365,20,18.25
-0.23534,0.06033,366,20,18.3
-0.22869,0.05422,367,20,18.35
-0.24744,0.0599,368,20,18.4
-0.23502,0.05882,369,20,18.45
-0.24059,0.05662,370,20,18.5
-0.23931,0.06625,371,20,18.55
-0.23673,0.06492,372,20,18.6
-0.25977,0.05832,373,20,18.65
-0.25997,0.04633,374,20,18.7
-0.25927,0.06095,375,20,18.75
-0.27509,0.07517,376,20,18.8
-0.28264,0.07758,377,20,18.85
-0.27564,0.08955,378,20,18.9
-0.27601,0.09523,379,20,18.95
-0.28442,0.09563,380,20,19.0
-0.28399,0.09439,381,20,19.05
-0.27644,0.084,382,20,19.1
-0.27915,0.06861,383,20,19.15
-0.30571,0.08134,384,20,19.2
-0.26133,0.03427,385,20,19.25
-0.26876,0.04385,386,20,19.3
-0.26952,0.04355,387,20,19.35
-0.26924,0.04111,388,20,19.4
-0.28571,0.06495,389,20,19.45
-0.28607,0.05708,390,20,19.5
-0.28685,0.05533,391,20,19.55
-0.28263,0.07288,392,20,19.6
-0.27929,0.07064,393,20,19.65
-0.27615,0.06335,394,20,19.7
-0.28325,0.06922,395,20,19.75
-0.29013,0.05903,396,20,19.8
-0.29711,0.05502,397,20,19.85
-0.29341,0.05605,398,20,19.9
-0.26455,0.05258,399,20,19.95
-0.26094,0.05234,400,20,20.0
-0.26583,0.05398,401,20,20.05
-0.26499,0.06054,402,20,20.1
-0.27522,0.07334,403,20,20.15
-0.2783,0.06532,404,20,20.2
-0.2523,0.04781,405,20,20.25
-0.23957,0.05511,406,20,20.3
-0.25179,0.05156,407,20,20.35
-0.24514,0.05688,408,20,20.4
-0.25977,0.0658,409,20,20.45
-0.26029,0.07246,410,20,20.5
-0.25368,0.06095,411,20,20.55
-0.26295,0.07042,412,20,20.6
-0.24906,0.06726,413,20,20.65
-0.25979,0.08769,414,20,20.7
-0.24695,0.06213,415,20,20.75
-0.24968,0.0594,416,20,20.8
-0.24631,0.0586,417,20,20.85
-0.24536,0.05906,418,20,20.9
-0.22372,0.05832,419,20,20.95
-0.22616,0.07503,420,20,21.0
-0.23765,0.06702,421,20,21.05
-0.24894,0.08301,422,20,21.1
-0.2527,0.07852,423,20,21.15
-0.24799,0.07564,424,20,21.2
-0.2479,0.07552,425,20,21.25
-0.24645,0.08274,426,20,21.3
-0.2375,0.08249,427,20,21.35
-0.24111,0.08299,428,20,21.4
-0.25519,0.09509,429,20,21.45
-0.26595,0.11287,430,20,21.5
-0.26687,0.08899,431,20,21.55
-0.26428,0.08827,432,20,21.6
-0.26361,0.09187,433,20,21.65
-0.25263,0.09147,434,20,21.7
-0.24538,0.07475,435,20,21.75
-0.2516,0.07382,436,20,21.8
-0.25239,0.06748,437,20,21.85
-0.2632,0.07576,438,20,21.9
-0.25626,0.07423,439,20,21.95
-0.25697,0.06127,440,20,22.0
-0.24272,0.03859,441,20,22.05
-0.2459,0.0357,442,20,22.1
-0.25228,0.05027,443,20,22.15
-0.25085,0.056,444,20,22.2
-0.2499,0.06069,445,20,22.25
-0.25588,0.08326,446,20,22.3
-0.23717,0.07349,447,20,22.35
-0.26818,0.09954,448,20,22.4
-0.27081,0.10478,449,20,22.45
-0.27845,0.11245,450,20,22.5
-0.26632,0.08824,451,20,22.55
-0.26577,0.08714,452,20,22.6
-0.26415,0.08874,453,20,22.65
-0.26432,0.08761,454,20,22.7
-0.25877,0.07158,455,20,22.75
-0.23996,0.04218,456,20,22.8
-0.24445,0.04797,457,20,22.85
-0.24294,0.04715,458,20,22.9
-0.24854,0.06628,459,20,22.95
-0.23345,0.02893,460,20,23.0
-0.23636,0.03343,461,20,23.05
-0.24127,0.02944,462,20,23.1
-0.25119,0.02449,463,20,23.15
-0.24121,0.01768,464,20,23.2
-0.25925,0.02359,465,20,23.25
-0.269,0.03479,466,20,23.3
-0.26979,0.06393,467,20,23.35
-0.27287,0.0416,468,20,23.4
-0.26137,0.01848,469,20,23.45
-0.2684,0.01511,470,20,23.5
-0.27256,0.02397,471,20,23.55
-0.27026,0.03034,472,20,23.6
-0.25762,0.04163,473,20,23.65
-0.24803,0.01601,474,20,23.7
-0.24157,0.02119,475,20,23.75
-0.24214,0.02149,476,20,23.8
-0.24302,0.02603,477,20,23.85
-0.23259,0.03405,478,20,23.9
-0.23607,0.03248,479,20,23.95
-0.24584,0.02849,480,20,24.0
-0.25273,0.03063,481,20,24.05
-0.24623,0.04407,482,20,24.1
-0.25081,0.05139,483,20,24.15
-0.23871,0.05457,484,20,24.2
-0.23878,0.06565,485,20,24.25
-0.26213,0.07428,486,20,24.3
-0.26556,0.07468,487,20,24.35
-0.2699,0.07925,488,20,24.4
-0.27603,0.08498,489,20,24.45
-0.26602,0.07057,490,20,24.5
-0.26327,0.07266,491,20,24.55
-0.26349,0.07913,492,20,24.6
-0.25838,0.08559,493,20,24.65
-0.25501,0.08071,494,20,24.7
-0.25637,0.08954,495,20,24.75
-0.27116,0.10149,496,20,24.8
-0.2555,0.10107,497,20,24.85
-0.25885,0.10082,498,20,24.9
-0.25944,0.10443,499,20,24.95
-0.27422,0.12487,500,20,25.0
-0.2836,0.05954,501,20,25.05
-0.27217,0.04223,502,20,25.1
-0.2755,0.05526,503,20,25.15
-0.27021,0.04886,504,20,25.2
-0.2749,0.05579,505,20,25.25
-0.26696,0.03991,506,20,25.3
-0.25912,0.04661,507,20,25.35
-0.25394,0.05411,508,20,25.4
-0.25784,0.05704,509,20,25.45
-0.2597,0.05301,510,20,25.5
-0.26105,0.05126,511,20,25.55
-0.26105,0.05126,512,20,25.6
-0.28994,-0.00132,513,20,25.65
-0.25181,0.0002,514,20,25.7
-0.25293,0.00202,515,20,25.75
-0.26173,-0.01145,516,20,25.8
-0.25849,-0.01344,517,20,25.85
-0.27838,0.00216,518,20,25.9
-0.26033,0.00658,519,20,25.95
-0.25397,0.02108,520,20,26.0
-0.25369,0.02075,521,20,26.05
-0.23473,0.04347,522,20,26.1
-0.24377,0.04288,523,20,26.15
-0.24938,0.00996,524,20,26.2
-0.25192,0.02669,525,20,26.25
-0.25396,0.01294,526,20,26.3
-0.24901,0.02231,527,20,26.35
-0.24743,0.03707,528,20,26.4
-0.26008,0.03716,529,20,26.45
-0.26179,0.0191,530,20,26.5
-0.26493,0.02216,531,20,26.55
-0.26162,0.02545,532,20,26.6
-0.25063,0.02409,533,20,26.65
-0.24408,0.01275,534,20,26.7
-0.24112,0.00608,535,20,26.75
-0.24869,0.00525,536,20,26.8
-0.24669,0.01509,537,20,26.85
-0.26125,0.01407,538,20,26.9
-0.25298,0.02894,539,20,26.95
-0.26036,0.02976,540,20,27.0
-0.26865,0.04059,541,20,27.05
